tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
BD2	Northern Minnesota	BD2-1:BD2-2:BD2-3:BD2-4:BD2-5:BD2-6:BD2-7:BD2-8	BD2-1a:BD2-2a:BD2-3a:BD2-4a:BD2-5a:BD2-6a:BD2-7a:BD2-8a	    5.0 	mc	  286.6 	   22.7 	   122 	8	8 	8 	0 	t	7.9428 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    5.3 	    2.8 	   19.9 	  174.6 
BD5	Northern Minnesota	BD5-1:BD5-2:BD5-3:BD5-4:BD5-5:BD5-6:BD5-7:BD5-8	BD5-1a:BD5-2a:BD5-3a:BD5-4a:BD5-5a:BD5-6a:BD5-7a:BD5-8a	    3.4 	mc	  282.7 	   44.8 	   271 	8	8 	8 	0 	t	7.9742 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    4.3 	    2.7 	   27.4 	  188.8 
BD5	Northern Minnesota	BD5-1:BD5-2:BD5-3:BD5-4:BD5-5:BD5-6:BD5-7:BD5-8	BD5-1a:BD5-2a:BD5-3a:BD5-4a:BD5-5a:BD5-6a:BD5-7a:BD5-8a	    3.4 	mc	  282.7 	   44.8 	   271 	8	8 	8 	0 	t	7.9742 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    4.3 	    2.7 	   27.4 	  188.8 
BD6	Northern Minnesota	BD6-1:BD6-2:BD6-3:BD6-4:BD6-5:BD6-6:BD6-7:BD6-8:BD6-9	BD6-1a:BD6-2a:BD6-3a:BD6-4a:BD6-5a:BD6-6a:BD6-7a:BD6-8a:BD6-9a	    6.5 	mc	  300.0 	   33.2 	    64 	9	9 	9 	0 	t	8.8754 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    7.4 	    4.2 	   33.4 	  169.1 
BD6	Northern Minnesota	BD6-1:BD6-2:BD6-3:BD6-4:BD6-5:BD6-6:BD6-7:BD6-8:BD6-9	BD6-1a:BD6-2a:BD6-3a:BD6-4a:BD6-5a:BD6-6a:BD6-7a:BD6-8a:BD6-9a	    6.5 	mc	  300.0 	   33.2 	    64 	9	9 	9 	0 	t	8.8754 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    7.4 	    4.2 	   33.4 	  169.1 
BD7	Northern Minnesota	BD7-1:BD7-2:BD7-3:BD7-4:BD7-5:BD7-6:BD7-7	BD7-1a:BD7-2a:BD7-3a:BD7-4a:BD7-5a:BD7-6a:BD7-7a	    3.5 	mc	  292.4 	   53.1 	   305 	7	7 	7 	0 	n	6.9803 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    4.9 	    3.4 	   38.5 	  189.2 
BD7	Northern Minnesota	BD7-1:BD7-2:BD7-3:BD7-4:BD7-5:BD7-6:BD7-7	BD7-1a:BD7-2a:BD7-3a:BD7-4a:BD7-5a:BD7-6a:BD7-7a	    3.5 	mc	  292.4 	   53.1 	   305 	7	7 	7 	0 	n	6.9803 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    4.9 	    3.4 	   38.5 	  189.2 
BD8	Northern Minnesota	BD8-10:BD8-1:BD8-2:BD8-3:BD8-4:BD8-5:BD8-6:BD8-7:BD8-8:BD8-9	BD8-10a:BD8-1a:BD8-2a:BD8-3a:BD8-4a:BD8-5a:BD8-6a:BD8-7a:BD8-8a:BD8-9a	    2.8 	mt	  287.9 	   52.8 	   300 	10	10 	10 	0 	n	9.9700 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    3.9 	    2.7 	   35.3 	  191.7 
BD8	Northern Minnesota	BD8-10:BD8-1:BD8-2:BD8-3:BD8-4:BD8-5:BD8-6:BD8-7:BD8-8:BD8-9	BD8-10a:BD8-1a:BD8-2a:BD8-3a:BD8-4a:BD8-5a:BD8-6a:BD8-7a:BD8-8a:BD8-9a	    2.8 	mt	  287.9 	   52.8 	   300 	10	10 	10 	0 	n	9.9700 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    3.9 	    2.7 	   35.3 	  191.7 
BD9	Northern Minnesota	BD9-1:BD9-2:BD9-4:BD9-5:BD9-6:BD9-7:BD9-8	BD9-1a:BD9-2a:BD9-4a:BD9-5a:BD9-6a:BD9-7a:BD9-8a	    8.2 	mt	  278.2 	   33.8 	    55 	7	7 	7 	0 	t	6.8910 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    9.4 	    5.3 	   19.0 	  185.7 
BD9	Northern Minnesota	BD9-1:BD9-2:BD9-4:BD9-5:BD9-6:BD9-7:BD9-8	BD9-1a:BD9-2a:BD9-4a:BD9-5a:BD9-6a:BD9-7a:BD9-8a	    8.2 	mt	  278.2 	   33.8 	    55 	7	7 	7 	0 	t	6.8910 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    9.4 	    5.3 	   19.0 	  185.7 
