tab 	specimens
analysts	citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
	This study	mt	2.4	194.3	70.5	1.8	1	14	-1	AX11-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:05:30	u	Anorthosite	873	813	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX11-8	pmagpy-4.2.24-1: demag_gui	AX11-8b
	This study	mt	2.4	286.7	22.9	1.8	1	14	0	AX11-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:05:30	u	Anorthosite	873	813	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX11-8	pmagpy-4.2.24-1: demag_gui	AX11-8b
	This study	mt	2.4	283.8	34.7	1.8	1	14	100	AX11-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:05:30	u	Anorthosite	873	813	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX11-8	pmagpy-4.2.24-1: demag_gui	AX11-8b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX11-9		AX11-9b
	This study	mt	2	286.2	24.1	1.2	1	16	0	AX11-9b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:06:56	u	Anorthosite	903	813	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX11-9	pmagpy-4.2.24-1: demag_gui	AX11-9b
	This study	mt	2	163	74.1	1.2	1	16	-1	AX11-9b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:06:56	u	Anorthosite	903	813	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX11-9	pmagpy-4.2.24-1: demag_gui	AX11-9b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX11-9		AX11-9b
	This study	mt	2	283.2	35.9	1.2	1	16	100	AX11-9b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:06:56	u	Anorthosite	903	813	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX11-9	pmagpy-4.2.24-1: demag_gui	AX11-9b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX12-1		AX12-1b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX12-1		AX12-1b
