tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_int_uT	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_int_mad	specimen_int_dang	specimen_scat
AX11-5a	500	570	30	1.00	-1.00	-	73.8	1.100e+01	6.342e-01	8.000e+00	7.774e-02	2.161e+00	9.562e-01	t
AX11-5a	500	575	30	1.00	-1.00	-	73.5	1.200e+01	6.378e-01	9.000e+00	6.947e-02	2.041e+00	9.580e-01	t
AX11-5a	500	580	30	1.00	-1.00	-	73.7	1.300e+01	6.535e-01	9.000e+00	6.311e-02	1.960e+00	8.946e-01	t
AX11-5a	500	585	30	1.00	-1.00	-	73.6	1.400e+01	6.570e-01	1.000e+01	5.799e-02	1.887e+00	8.903e-01	t
AX11-6a	0	555	30	1.00	-1.00	-	74.3	1.400e+01	6.510e-01	6.000e+00	7.842e-02	5.353e+00	8.853e-01	t
AX11-6a	0	560	30	1.00	-1.00	-	76.9	1.500e+01	7.390e-01	6.000e+00	6.679e-02	4.672e+00	3.204e-01	t
AX11-6a	0	562	30	1.00	-1.00	-	74.1	1.600e+01	7.415e-01	7.000e+00	5.939e-02	4.267e+00	5.704e-01	t
AX11-6a	0	564	30	1.00	-1.00	-	74.7	1.700e+01	7.814e-01	7.000e+00	5.253e-02	3.896e+00	7.874e-01	t
AX11-6a	0	566	30	1.00	-1.00	-	74.2	1.800e+01	7.844e-01	8.000e+00	4.734e-02	3.641e+00	9.973e-01	t
AX11-6a	0	570	30	1.00	-1.00	-	74.2	1.900e+01	8.419e-01	8.000e+00	4.267e-02	3.387e+00	1.111e+00	t
AX11-6a	0	575	30	1.00	-1.00	-	73.2	2.000e+01	8.489e-01	9.000e+00	3.963e-02	3.196e+00	1.102e+00	t
AX11-6a	0	580	30	1.00	-1.00	-	73.1	2.100e+01	8.795e-01	9.000e+00	3.650e-02	3.028e+00	1.087e+00	t
AX11-6a	0	585	30	1.00	-1.00	-	72.7	2.200e+01	8.834e-01	1.000e+01	3.411e-02	2.893e+00	1.136e+00	t
AX11-6a	100	555	30	1.00	-1.00	-	74.5	1.300e+01	6.397e-01	6.000e+00	8.588e-02	5.407e+00	1.002e+00	t
AX11-6a	100	560	30	1.00	-1.00	-	77.2	1.400e+01	7.277e-01	6.000e+00	7.268e-02	4.710e+00	5.835e-01	t
AX11-6a	100	562	30	1.00	-1.00	-	74.2	1.500e+01	7.302e-01	7.000e+00	6.441e-02	4.301e+00	7.973e-01	t
AX11-6a	100	564	30	1.00	-1.00	-	74.8	1.600e+01	7.701e-01	7.000e+00	5.681e-02	3.923e+00	9.852e-01	t
AX11-6a	100	566	30	1.00	-1.00	-	74.3	1.700e+01	7.731e-01	8.000e+00	5.109e-02	3.666e+00	1.185e+00	t
AX11-6a	100	570	30	1.00	-1.00	-	74.3	1.800e+01	8.306e-01	8.000e+00	4.596e-02	3.408e+00	1.292e+00	t
AX11-6a	100	575	30	1.00	-1.00	-	73.3	1.900e+01	8.376e-01	9.000e+00	4.261e-02	3.218e+00	1.275e+00	t
AX11-6a	100	580	30	1.00	-1.00	-	73.1	2.000e+01	8.682e-01	9.000e+00	3.918e-02	3.050e+00	1.250e+00	t
AX11-6a	100	585	30	1.00	-1.00	-	72.7	2.100e+01	8.721e-01	1.000e+01	3.657e-02	2.915e+00	1.295e+00	t
AX11-6a	200	555	30	1.00	-1.00	-	73.3	1.200e+01	6.043e-01	6.000e+00	9.354e-02	5.039e+00	1.375e+00	t
AX11-6a	200	560	30	1.00	-1.00	-	76.3	1.300e+01	6.923e-01	6.000e+00	7.902e-02	4.381e+00	1.151e+00	t
AX11-6a	200	562	30	1.00	-1.00	-	73.3	1.400e+01	6.948e-01	7.000e+00	6.946e-02	4.002e+00	1.329e+00	t
AX11-6a	200	564	30	1.00	-1.00	-	74.0	1.500e+01	7.347e-01	7.000e+00	6.114e-02	3.645e+00	1.452e+00	t
AX11-6a	200	566	30	1.00	-1.00	-	73.5	1.600e+01	7.377e-01	8.000e+00	5.481e-02	3.403e+00	1.616e+00	t
AX11-6a	200	570	30	1.00	-1.00	-	73.5	1.700e+01	7.953e-01	8.000e+00	4.919e-02	3.160e+00	1.691e+00	t
AX11-6a	200	575	30	1.00	-1.00	-	72.6	1.800e+01	8.022e-01	9.000e+00	4.545e-02	2.990e+00	1.648e+00	t
AX11-6a	200	580	30	1.00	-1.00	-	72.5	1.900e+01	8.328e-01	9.000e+00	4.171e-02	2.841e+00	1.597e+00	t
AX11-6a	200	585	30	1.00	-1.00	-	72.1	2.000e+01	8.367e-01	1.000e+01	3.885e-02	2.716e+00	1.626e+00	t
AX11-6a	300	560	30	1.00	-1.00	-	75.0	1.200e+01	6.704e-01	6.000e+00	8.625e-02	3.649e+00	1.645e+00	t
AX11-6a	300	562	30	1.00	-1.00	-	72.1	1.300e+01	6.728e-01	7.000e+00	7.510e-02	3.319e+00	1.912e+00	t
AX11-6a	300	564	30	1.00	-1.00	-	72.9	1.400e+01	7.128e-01	7.000e+00	6.598e-02	3.014e+00	2.003e+00	t
AX11-6a	300	566	30	1.00	-1.00	-	72.5	1.500e+01	7.158e-01	8.000e+00	5.893e-02	2.808e+00	2.149e+00	t
AX11-6a	300	570	30	1.00	-1.00	-	72.6	1.600e+01	7.733e-01	8.000e+00	5.275e-02	2.610e+00	2.177e+00	t
AX11-6a	300	575	30	1.00	-1.00	-	71.6	1.700e+01	7.802e-01	9.000e+00	4.854e-02	2.489e+00	2.092e+00	t
AX11-6a	300	580	30	1.00	-1.00	-	71.6	1.800e+01	8.108e-01	9.000e+00	4.445e-02	2.383e+00	2.007e+00	t
AX11-6a	300	585	30	1.00	-1.00	-	71.2	1.900e+01	8.148e-01	1.000e+01	4.129e-02	2.283e+00	2.018e+00	t
AX11-6a	400	562	30	1.00	-1.00	-	70.6	1.200e+01	6.020e-01	7.000e+00	8.212e-02	2.850e+00	2.519e+00	t
AX11-6a	400	564	30	1.00	-1.00	-	71.6	1.300e+01	6.419e-01	7.000e+00	7.200e-02	2.585e+00	2.557e+00	t
AX11-6a	400	566	30	1.00	-1.00	-	71.2	1.400e+01	6.449e-01	8.000e+00	6.403e-02	2.404e+00	2.677e+00	t
AX11-6a	400	570	30	1.00	-1.00	-	71.4	1.500e+01	7.024e-01	8.000e+00	5.714e-02	2.250e+00	2.656e+00	t
AX11-6a	400	575	30	1.00	-1.00	-	70.5	1.600e+01	7.094e-01	9.000e+00	5.232e-02	2.180e+00	2.529e+00	t
AX11-6a	400	580	30	1.00	-1.00	-	70.5	1.700e+01	7.400e-01	9.000e+00	4.778e-02	2.118e+00	2.407e+00	t
AX11-6a	400	585	30	1.00	-1.00	-	70.2	1.800e+01	7.439e-01	1.000e+01	4.426e-02	2.038e+00	2.400e+00	t
AX11-6a	425	564	30	1.00	-1.00	-	71.8	1.200e+01	6.295e-01	7.000e+00	8.093e-02	2.470e+00	2.637e+00	t
AX11-6a	425	566	30	1.00	-1.00	-	71.3	1.300e+01	6.325e-01	8.000e+00	7.172e-02	2.298e+00	2.771e+00	t
AX11-6a	425	570	30	1.00	-1.00	-	71.6	1.400e+01	6.900e-01	8.000e+00	6.377e-02	2.161e+00	2.745e+00	t
AX11-6a	425	575	30	1.00	-1.00	-	70.6	1.500e+01	6.969e-01	9.000e+00	5.822e-02	2.110e+00	2.606e+00	t
AX11-6a	425	580	30	1.00	-1.00	-	70.6	1.600e+01	7.276e-01	9.000e+00	5.303e-02	2.060e+00	2.478e+00	t
AX11-6a	425	585	30	1.00	-1.00	-	70.2	1.700e+01	7.315e-01	1.000e+01	4.902e-02	1.985e+00	2.473e+00	t
AX11-6a	450	570	30	1.00	-1.00	-	70.9	1.300e+01	6.560e-01	8.000e+00	7.208e-02	1.944e+00	3.084e+00	t
AX11-6a	450	575	30	1.00	-1.00	-	69.9	1.400e+01	6.629e-01	9.000e+00	6.547e-02	1.949e+00	2.909e+00	t
AX11-6a	450	580	30	1.00	-1.00	-	69.9	1.500e+01	6.935e-01	9.000e+00	5.944e-02	1.938e+00	2.751e+00	t
AX11-6a	450	585	30	1.00	-1.00	-	69.5	1.600e+01	6.975e-01	1.000e+01	5.477e-02	1.881e+00	2.734e+00	t
AX11-6a	475	570	30	1.00	-1.00	-	73.4	1.200e+01	6.405e-01	8.000e+00	8.214e-02	1.893e+00	3.522e+00	t
AX11-6a	475	575	30	1.00	-1.00	-	72.0	1.300e+01	6.474e-01	9.000e+00	7.457e-02	1.956e+00	3.300e+00	t
AX11-6a	475	580	30	1.00	-1.00	-	71.9	1.400e+01	6.780e-01	9.000e+00	6.735e-02	1.984e+00	3.103e+00	t
AX11-6a	475	585	30	1.00	-1.00	-	71.3	1.500e+01	6.820e-01	1.000e+01	6.192e-02	1.939e+00	3.069e+00	t
AX11-6a	500	580	30	1.00	-1.00	-	71.0	1.300e+01	6.204e-01	9.000e+00	8.064e-02	2.087e+00	3.277e+00	t
