Data,IDENT,SLAT,SLONG,AGE,IntM,Nint,F,DF,VDM,P,Ndir,INC,DEC,k,a95,AUTHORS,YEAR,JOURNAL,VOL,PAGES,NOTE,MagIC,Ref
6393,0238x582104,-11,71,32,T+,3,8.2,0.3,1.7,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6394,0238x592077,-11,71,32,T+,1,10.4,&nbsp;,2.2,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6395,0238x601104,-11,71,32,T+,3,9.5,1.2,2,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6396,0238x602131,-11,71,32,T+,2,10.1,0.8,2.1,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6397,0238x604057,-11,71,32,T+,3,8.2,1,1.7,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6515,0559a073011,35,-41,32,T+,3,10.5,0.7,2.2,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6516,0559x021142,35,-41,32,T+,1,14.7,&nbsp;,3,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6517,0559x031011,35,-41,32,T+,1,8,&nbsp;,1.7,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6539,0706c021009,-13,61,32,T+,1,6.6,&nbsp;,1.2,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6540,0706c021071,-13,61,32,T+,1,8.2,&nbsp;,1.5,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6541,0706c021093,-13,61,32,T+,2,5.6,0.6,1,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6542,0706c022039,-13,61,32,T+,2,10.9,5.3,2,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6543,0706c022095,-13,61,32,T+,4,6.4,1,1.2,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6544,0706c052074,-13,61,32,T+,1,3.9,&nbsp;,0.7,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6545,0706c052103,-13,61,32,T+,3,5.4,1.8,1,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6546,0706c053044,-13,61,32,T+,2,5.8,1.9,1.1,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6547,0706c077010,-13,61,32,T+,2,5.7,1.5,1.1,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
2295,01Subotanintrusion,40,45.5,32.5,T-,9,26,3,4.9,O,12,-53,166,40,7,"Solodovnikov,G.M.",1999,"Izv.,Phys.SolidEarth(Eng.Trans.)",35,334-339,&nbsp;,,154
2296,02Subotanintrusion,40,45.5,32.5,T-,8,26,2.8,5,O,12,-50,174,42,7,"Solodovnikov,G.M.",1999,"Izv.,Phys.SolidEarth(Eng.Trans.)",35,334-339,&nbsp;,,154
2297,03Subotanintrusion,40,45.5,32.5,T-,10,26,6.3,5,O,13,-50,167,43,6,"Solodovnikov,G.M.",1999,"Izv.,Phys.SolidEarth(Eng.Trans.)",35,334-339,&nbsp;,,154
2298,04Subotanintrusion,40,45.5,32.5,T-,14,24,3.7,3.8,O,14,65,356,45,6,"Solodovnikov,G.M.",1999,"Izv.,Phys.SolidEarth(Eng.Trans.)",35,334-339,&nbsp;,,154
6527,0564x012117,34,-44,33.2,T+,2,13.1,2.8,2.7,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6528,0564x021042,34,-44,33.2,T+,1,14.1,&nbsp;,2.9,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6529,0564x022092,34,-44,33.2,T+,1,12.5,&nbsp;,2.6,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6530,0564x033063,34,-44,33.2,T+,1,13.3,&nbsp;,2.7,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6531,0564x041129,34,-44,33.2,T+,1,9,&nbsp;,1.9,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6532,0564x042085,34,-44,33.2,T+,1,13.7,&nbsp;,2.8,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6533,0564x043075,34,-44,33.2,T+,5,15.9,3.6,3.3,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6534,0564x054002,34,-44,33.2,T+,1,12.5,&nbsp;,2.6,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6535,0564x061142,34,-44,33.2,T+,2,18.5,7.8,3.8,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6536,0564x071076,34,-44,33.2,T+,2,11.2,0.1,2.3,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6537,0564x081101,34,-44,33.2,T+,2,15.3,0.1,3.1,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6538,0564x093p02,34,-44,33.2,T+,2,17,2.3,3.5,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
1826,563/564,34,-44,33.3,T+,9,16.3,3.2,3.1,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Juarez,M.T.,Tauxe,L.,Gee,J.S.,Pick,T.",1998,Nature,394,878-881,&nbsp;,,131
6436,0407x462021,64,-31,33.3,T+,1,29.4,&nbsp;,4.4,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6437,0407x463051,64,-31,33.3,T+,1,27.1,&nbsp;,4.1,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6438,0407x464057,64,-31,33.3,T+,3,31,1.2,4.7,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6439,0407x473137,64,-31,33.3,T+,1,27,&nbsp;,4,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6440,0407x474086,64,-31,33.3,T+,1,32,&nbsp;,4.8,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
1063,bakedlaterite,55.1,-6.4,33.5,W,2,42,3,8.9,O,&nbsp;,-41,178,&nbsp;,8,"Wilson,R.L.",1961,Geophys.J.Roy.Astron.Soc.,5,45-58,Paleointensitymethod(INTMTD=W),,80
1014,ScottishV,56,-5,33.9,WZ,2,45,4.2,7.9,R,&nbsp;,-59.3,172,&nbsp;,&nbsp;,"Smith,P.J.",1967,Geophys.J.Roy.Astron.Soc.,12,239-258,&nbsp;,,72
417,SanJuan01,37.8,-106.4,34,T-,4,16.1,2.9,3.9,O,8,23.9,4.5,6,26,"Kono,M.,Ueno,N.",1977,Phys.EarthPlanet.Interiors,13,305-314,&nbsp;,,43
1807,238(lower),-11,71,34,T+,5,9.4,0.5,2,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Juarez,M.T.,Tauxe,L.,Gee,J.S.,Pick,T.",1998,Nature,394,878-881,&nbsp;,,131
1808,238(upper),-11,71,34,T+,3,33,9.6,6.9,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Juarez,M.T.,Tauxe,L.,Gee,J.S.,Pick,T.",1998,Nature,394,878-881,&nbsp;,,131
6510,0558x293p11,37.77,-37.3435,34,T+,2,40.1,2.8,7.9,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6511,0558x294p4b,37.77,-37.3435,34,T+,1,20.7,&nbsp;,4.1,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6512,0558x302p6a,37.77,-37.3435,34,T+,2,30.1,0.9,6,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6513,0558x311p4a,37.77,-37.3435,34,T+,1,38,&nbsp;,7.5,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6514,0558x312p3a,37.77,-37.3435,34,T+,2,62.3,20.3,12.3,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
1812,407,64,-31,35.2,T+,4,27.9,3.6,4,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Juarez,M.T.,Tauxe,L.,Gee,J.S.,Pick,T.",1998,Nature,394,878-881,&nbsp;,,131
1870,1,40.3,45.2,35.5,T-,4,25,2,3.8,O,8,68,20,25,12,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1871,2,40.3,45.2,35.5,T-,9,25,3,3.5,O,8,75,37,40,9,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1872,3,40.3,45.2,35.5,T-,12,23,3.5,3.6,O,11,67,30,47,7,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1873,4,40.3,45.2,35.5,T-,7,24,2.6,3.4,O,7,75,35,34,11,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1874,5,40.3,45.2,35.5,T-,11,22,6.6,3.1,O,11,76,2,41,7,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1875,6,40.3,45.2,35.5,T-,5,23,4.5,4,O,10,58,5,49,7,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1876,7,40.3,45.2,35.5,T-,10,22,3.2,3.7,O,15,62,6,51,5,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1877,8,40.3,45.2,35.5,T-,9,26,6,4.8,O,11,54,2,21,10,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1878,9,40.3,45.2,35.5,T-,5,23,6.7,4.1,O,5,57,9,22,17,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1879,10,40.5,45,35.5,T-,20,26,4.5,4.9,O,11,-53,196,62,6,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1880,11,40.5,45,35.5,T-,12,24,3.5,3.7,O,10,-68,200,38,8,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1881,12,40.5,45,35.5,T-,16,27,8,4.4,O,17,-63,206,30,7,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1882,13,40.5,45,35.5,T-,10,25,3.2,4.6,O,13,-55,199,22,6,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1883,14,40.5,45,35.5,T-,19,25,8.7,4.1,O,13,63,15,43,6,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1884,15,41,44.5,35.5,T-,13,27,3.6,5.1,O,15,52,352,37,6,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1885,16,41,44.5,35.5,T-,8,26,2.8,4.3,O,9,63,359,34,10,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1886,17,41,44.5,35.5,T-,8,26,2.8,4.4,O,8,61,4,38,9,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1820,522B,-27,-5,35.7,T+,4,19.6,3.2,3.8,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Juarez,M.T.,Tauxe,L.,Gee,J.S.,Pick,T.",1998,Nature,394,878-881,&nbsp;,,131
6496,0522b032p02,-27,-5,35.7,T+,1,10,&nbsp;,1.7,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
332,08.Oberramstadt,50,10,37,ONR,1,4.7,&nbsp;,&nbsp;,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Koenigsberger,J.G.",1938,Terr.Magn.Atmos.Elect.,43,299-320,&nbsp;,,36
1887,18,40,45.5,37,T-,9,26,3,4.7,O,10,-55,196,49,7,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1888,19,40,45.5,37,T-,14,26,3.7,4.2,O,14,65,15,40,6,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1889,20,39.5,46,37,T-,12,26,6.9,4.4,O,12,-61,215,36,7,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
6571,0770b172080,5,124,38.9,T+,1,32.3,&nbsp;,7.7,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6572,0770b173147,5,124,38.9,T+,4,14.7,1.1,3.5,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6573,0770b182035,5,124,38.9,T+,2,15.6,1.3,3.7,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6574,0770b183005,5,124,38.9,T+,6,14.7,3.8,3.5,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6575,0770b183031,5,124,38.9,T+,1,29,&nbsp;,6.9,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6576,0770c023008,5,124,38.9,T+,2,16.8,0.8,4,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6577,0770c023009,5,124,38.9,T+,2,17.3,0.5,4.1,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6578,0770c023019,5,124,38.9,T+,2,15.7,1.2,3.7,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6579,0770c023020,5,124,38.9,T+,2,18.5,1.6,4.4,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6580,0770c032050,5,124,38.9,T+,1,11.9,&nbsp;,2.8,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6581,0770c041016,5,124,38.9,T+,2,11.2,2,2.7,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6582,0770c04x014,5,124,38.9,T+,3,8.1,1.6,1.9,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6583,0770c091081,5,124,38.9,T+,2,30.8,13.9,7.3,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6584,0770c091084,5,124,38.9,T+,2,17.2,5.6,4.1,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
1012,ScottishS,56,-5,40.9,WZ,2,52,2.1,9.1,R,&nbsp;,-59.3,172,&nbsp;,&nbsp;,"Smith,P.J.",1967,Geophys.J.Roy.Astron.Soc.,12,239-258,&nbsp;,,72
1890,21,39.5,45.5,41.5,T-,15,31,7.7,5.7,O,16,55,351,27,8,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1891,22,39.5,46,41.5,T-,9,28,6,5.1,O,8,-55,172,37,9,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1892,23,39.5,46,41.5,T-,12,29,6.9,5.5,O,12,-52,168,34,8,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1893,24,39.5,46,41.5,T-,10,31,3.2,5.9,O,10,-51,177,45,7,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1894,25,40,45.5,41.5,T-,11,31,6.6,5.7,O,15,55,351,39,6,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1895,26,40,45.5,41.5,T-,9,26,6,5,O,7,-51,197,23,13,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1896,27,40,45.5,41.5,T-,9,26,3,5,O,15,51,352,52,5,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1897,28,40,45.5,41.5,T-,21,26,4.6,4.9,O,23,53,353,54,4,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1898,29,39.5,46,41.5,T-,20,26,4.5,4.7,O,19,55,345,71,4,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1899,30,40,45.5,41.5,T-,9,23,6,4.2,O,10,54,352,55,7,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1900,31,40.5,45,41.5,T-,18,22,8.5,4.1,O,17,-54,175,51,5,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1901,32,40,45.5,41.5,T-,14,24,7.5,4.6,O,11,-51,175,96,5,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1902,33,40,45.5,41.5,T-,4,23,4,4.3,O,7,-53,176,28,12,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
553,EM7,29,-117.5,42,T-,1,44.2,&nbsp;,9.6,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Ozima,M.,Ozima,M.,Kaneoka,I.",1968,J.Geophys.Res.,73,711-723,&nbsp;,,53
1013,ScottishU,56,-5,42.4,WZ,3,20,2.3,3.5,R,&nbsp;,-59.3,172,&nbsp;,&nbsp;,"Smith,P.J.",1967,Geophys.J.Roy.Astron.Soc.,12,239-258,&nbsp;,,72
6457,0447a143076,18,133,43,T+,1,28.9,&nbsp;,5.9,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6458,0447a182119,18,133,43,T+,1,11.3,&nbsp;,2.3,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6459,0447a254001,18,133,43,T+,1,30.4,&nbsp;,6.2,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
1814,447A,18,133,43.5,T+,2,33.5,0.7,8.3,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Juarez,M.T.,Tauxe,L.,Gee,J.S.,Pick,T.",1998,Nature,394,878-881,&nbsp;,,131
333,10.Goldberg,50,10,44,ONR,1,9.4,&nbsp;,&nbsp;,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Koenigsberger,J.G.",1938,Terr.Magn.Atmos.Elect.,43,299-320,&nbsp;,,36
1001,ScottishC,56,-5,44.3,WZ,2,28,3.5,4.9,R,&nbsp;,-59.3,172,&nbsp;,&nbsp;,"Smith,P.J.",1967,Geophys.J.Roy.Astron.Soc.,12,239-258,&nbsp;,,72
1000,ScottishA,56,-5,44.8,WZ,1,19,&nbsp;,3.3,R,&nbsp;,-59.3,172,&nbsp;,&nbsp;,"Smith,P.J.",1967,Geophys.J.Roy.Astron.Soc.,12,239-258,&nbsp;,,72
1003,ScottishE,56,-5,44.8,WZ,1,35,&nbsp;,6.2,R,&nbsp;,-59.3,172,&nbsp;,&nbsp;,"Smith,P.J.",1967,Geophys.J.Roy.Astron.Soc.,12,239-258,&nbsp;,,72
1004,ScottishF,56,-5,44.8,WZ,2,27,1.4,4.8,R,&nbsp;,-59.3,172,&nbsp;,&nbsp;,"Smith,P.J.",1967,Geophys.J.Roy.Astron.Soc.,12,239-258,&nbsp;,,72
1005,ScottishG,56,-5,44.8,WZ,2,51,8.5,9,R,&nbsp;,-59.3,172,&nbsp;,&nbsp;,"Smith,P.J.",1967,Geophys.J.Roy.Astron.Soc.,12,239-258,&nbsp;,,72
1007,ScottishL,56,-5,44.8,WZ,1,20,&nbsp;,3.5,R,&nbsp;,-59.3,172,&nbsp;,&nbsp;,"Smith,P.J.",1967,Geophys.J.Roy.Astron.Soc.,12,239-258,&nbsp;,,72
1008,ScottishM,56,-5,44.8,WZ,1,27,&nbsp;,4.8,R,&nbsp;,-59.3,172,&nbsp;,&nbsp;,"Smith,P.J.",1967,Geophys.J.Roy.Astron.Soc.,12,239-258,&nbsp;,,72
1010,ScottishP,56,-5,44.8,WZ,2,25,3.5,4.4,R,&nbsp;,-59.3,172,&nbsp;,&nbsp;,"Smith,P.J.",1967,Geophys.J.Roy.Astron.Soc.,12,239-258,&nbsp;,,72
1011,ScottishQ,56,-5,44.8,WZ,2,64,4.2,11.3,R,&nbsp;,-59.3,172,&nbsp;,&nbsp;,"Smith,P.J.",1967,Geophys.J.Roy.Astron.Soc.,12,239-258,&nbsp;,,72
1015,ScottishW,56,-5,44.8,WZ,1,19,&nbsp;,3.3,R,&nbsp;,-59.3,172,&nbsp;,&nbsp;,"Smith,P.J.",1967,Geophys.J.Roy.Astron.Soc.,12,239-258,&nbsp;,,72
1017,ScottishZ,56,-5,44.8,WZ,1,5,&nbsp;,1,R,&nbsp;,-59.3,172,&nbsp;,&nbsp;,"Smith,P.J.",1967,Geophys.J.Roy.Astron.Soc.,12,239-258,&nbsp;,,72
1903,34,39.5,45.5,46.5,T-,11,49,6.6,9.8,O,10,47,343,38,8,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1904,35,39.5,45.5,46.5,T-,8,48,5.7,9.5,O,7,48,345,24,7,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
1905,36,39.5,45.5,46.5,T-,5,46,2.2,9.2,O,10,-47,144,42,7,"Solodovnikov,G.M.",1998,"Izv.,Phys.SolidEarth(Eng.Trans.)",34,865-869,&nbsp;,,138
