 Data , IDENT, SLAT, SLONG, AGE , DAGE, AgeMtd  , P, Country , Continent , IntM, Ndir, INC , DEC , k, a95 , Nint, F, DF  , DFPc, VDM , GROUP, TYPE, FORM, ROCKMAG , COMMENTS  , LOCATION NAME , Ref 
367,UV09  ,35,139.1,0.89,0.11,Geomagnetic polarity timescale,R ,Japan ,Asia  ,T-,&nbsp;,-43.6,136.1,&nbsp;,&nbsp;,1,46,&nbsp;,&nbsp;,9.5,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,"Dating: Kaneoka et al., 1970, JGG, 22, 559-516. ",&nbsp;,38
368,UV10  ,35,139.1,0.89,0.11,Geomagnetic polarity timescale,R ,Japan ,Asia  ,T-,&nbsp;,-43.5,134.8,&nbsp;,&nbsp;,1,84,&nbsp;,&nbsp;,17.4,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,"Dating: Kaneoka et al., 1970, JGG, 22, 559-516. ",&nbsp;,38
2363,43. ME19  ,17.83,-28.67,0.89,0.02,Geomagnetic polarity timescale,R ,Canary Islands  ,Atlantic Ocean  ,T+,7,-35.6,181.8,246,3.9,5,42.2,9.2,22,9.4,Volcanic  ,Basalt,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,155
2364,47. ME15  ,17.83,-28.67,0.91,0.03,K-Ar  ,R ,Canary Islands  ,Atlantic Ocean  ,Tv,7,-36.9,197.6,266,3.7,4,13.1,2.5,19,2.9,Volcanic  ,Basalt,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,155
2366,50. ME12  ,17.83,-28.67,0.92,0.02,Geomagnetic polarity timescale,R ,Canary Islands  ,Atlantic Ocean  ,T+,4,-33.9,166,107,8.9,3,27,6.8,25,6.1,Volcanic  ,Basalt,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,155
2367,51. ME11  ,17.83,-28.67,0.92,0.02,Geomagnetic polarity timescale,R ,Canary Islands  ,Atlantic Ocean  ,T+,5,-37.1,171.6,135,6.6,3,41.3,3.4,8,9.1,Volcanic  ,Basalt,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,155
2368,52. ME10  ,17.83,-28.67,0.92,0.02,Geomagnetic polarity timescale,R ,Canary Islands  ,Atlantic Ocean  ,T+,5,-23.2,197,358,4,3,36.9,0.9,2,9,Volcanic  ,Basalt,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,155
6669,PU04  ,-17.65,-149.38,0.92,0.03,K-Ar  ,N ,French Polynesia,Pacific Ocean,LTD-DHT-S ,6,-62.3,20.3,&nbsp;,4.1,5,22.4,0.8,3,3.7,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Dating: Uto et al., submitted ",&nbsp;,513
2369,53. ME9,17.83,-28.67,0.93,0.02,Geomagnetic polarity timescale,R ,Canary Islands  ,Atlantic Ocean  ,T+,5,-28.5,204.2,1099,2.3,4,59.1,2.9,5,13.9,Volcanic  ,Basalt,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,155
2370,54. ME8,17.83,-28.67,0.94,0.02,Geomagnetic polarity timescale,R ,Canary Islands  ,Atlantic Ocean  ,T+,7,-24,202.9,272,3.7,6,51,9.9,19,12.3,Volcanic  ,Basalt,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,155
2371,55. ME7,17.83,-28.67,0.94,0.02,Geomagnetic polarity timescale,R ,Canary Islands  ,Atlantic Ocean  ,T+,5,-23.7,199.9,290,4.5,4,49.9,4.7,9,12.1,Volcanic  ,Basalt,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,155
2372,56. ME6,17.83,-28.67,0.94,0.02,Geomagnetic polarity timescale,R ,Canary Islands  ,Atlantic Ocean  ,T+,4,-26.1,199.1,272,5.6,3,37.9,6.7,18,9.1,Volcanic  ,Basalt,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,155
2373,57. ME5,17.83,-28.67,0.95,0.02,Geomagnetic polarity timescale,R ,Canary Islands  ,Atlantic Ocean  ,T+,5,-33.8,181.2,235,5,2,47.4,0.5,1,10.7,Volcanic  ,Basalt,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,155
2374,58. ME4,17.83,-28.67,0.95,0.02,Geomagnetic polarity timescale,R ,Canary Islands  ,Atlantic Ocean  ,T+,4,-35.4,189.6,108,8.9,3,25.6,3.3,13,5.7,Volcanic  ,Basalt,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,155
8550,sr34  ,43.89,-112.8,0.95,0.06,Ar-Ar ,N ,USA,North America,T+,8,-48.9,205.4,565,2.4,3,78.5,3.7,4,15.4,Volcanic  ,Basalt,Lava flow ,&nbsp;,"VADM=(13,0+-0,78)x10^22 Am^2  ",Snake River Plain. Idaho  ,640
2375,59. ME3,17.83,-28.67,0.96,0.02,Geomagnetic polarity timescale,R ,Canary Islands  ,Atlantic Ocean  ,T+,6,-15.6,184.5,76,7.7,2,12.6,0.9,7,3.2,Volcanic  ,Basalt,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,155
2377,60. ME2,17.83,-28.67,0.96,0.02,Geomagnetic polarity timescale,R ,Canary Islands  ,Atlantic Ocean  ,Tv,4,-44.7,189.1,99,9.3,3,29.5,1.2,4,6,Volcanic  ,Basalt,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,155
9042,CI,19.38,-102.98,0.96,0.16,Ar-Ar ,N ,Mexico,North America,MSPDp ,13,51.9,15.3,16.1,10.6,8,29,5,17,5.5,Volcanic  ,Basalt,Lava flow ,Titanomagnetite ,&nbsp;,"Trans-mexican Volcanic belt, Central Mexico ",666
8160,QTW10-1,-36,-71,0.98,0.18,Ar-Ar ,R ,Chile ,South America,M+,8,68.2,205.2,393,2.8,1,12.7,&nbsp;,&nbsp;,2,Volcanic  ,Andesite  ,lava Flow ,magnetite ,&nbsp;,"Quebrada Turbia Valley, Chile ",613
2,Aragats,41,45,1,1,Stratigraphy,N ,Armenia,Europe,T-,6,57,356,&nbsp;,&nbsp;,6,39,24.5,62,6.9,Volcanic  ,&nbsp;,&nbsp;,Near magnetite phase,&nbsp;,&nbsp;,2
141,1,40,45,1,1,Estimated ,N ,Armenia,Europe,T-,&nbsp;,61,357,&nbsp;,&nbsp;,9,49,6,12,8.7,&nbsp;,&nbsp;,Baked contact,&nbsp;,&nbsp;,&nbsp;,10
142,2,40,45,1,1,Estimated ,R ,Armenia,Europe,T-,&nbsp;,-62,174.5,&nbsp;,&nbsp;,3,45,1.7,3,7.8,&nbsp;,&nbsp;,Baked contact,&nbsp;,&nbsp;,&nbsp;,10
143,Basargechar ,40.2,45.7,1,1,Stratigraphy,N ,Armenia,Europe,T-,&nbsp;,61,357,&nbsp;,&nbsp;,9,49,6,12,8.3,&nbsp;,&nbsp;,Baked contact,&nbsp;,&nbsp;,&nbsp;,11
145,Karbi1,40.3,44.4,1,0.3,Stratigraphy,N ,Armenia,Europe,T-,&nbsp;,47.5,356,&nbsp;,&nbsp;,45,43.4,2,4,8.5,&nbsp;,&nbsp;,Baked contact,&nbsp;,"age in Petrova et al., 1979",&nbsp;,11
146,Karbi2,40.3,44.4,1,0.3,Stratigraphy,N ,Armenia,Europe,T-,&nbsp;,60,350.5,&nbsp;,&nbsp;,10,46.7,2.5,5,7.8,&nbsp;,&nbsp;,Baked contact,&nbsp;,"Izv., Earth Phys., 15, 75-79  ",&nbsp;,11
222,Brezno,50.4,13.4,1,1,Stratigraphy,N ,Czechia,Europe,T-,&nbsp;,58,6,&nbsp;,&nbsp;,2,23.3,3.3,14,4.1,Sedimentary ,Porcellanite,&nbsp;,&nbsp;,&nbsp;,&nbsp;,20
224,Hosnice,50.4,13.4,1,1,Stratigraphy,N ,Czechia,Europe,T-,&nbsp;,61,6,&nbsp;,&nbsp;,3,19.3,4.6,24,3.3,Sedimentary ,Porcellanite,&nbsp;,&nbsp;,&nbsp;,&nbsp;,20
225,Kolozulky ,50.4,13.4,1,1,Stratigraphy,N ,Czechia,Europe,T-,&nbsp;,68,293,&nbsp;,&nbsp;,1,49.9,&nbsp;,&nbsp;,7.7,Sedimentary ,Porcellanite,&nbsp;,&nbsp;,&nbsp;,&nbsp;,20
227,Necichy,50.4,13.4,1,1,Stratigraphy,N ,Czechia,Europe,T-,&nbsp;,71,355,&nbsp;,&nbsp;,1,27.6,&nbsp;,&nbsp;,4.1,Sedimentary ,Porcellanite,&nbsp;,&nbsp;,&nbsp;,&nbsp;,20
228,Sabenice  ,50.4,13.4,1,1,Stratigraphy,N ,Czechia,Europe,T-,&nbsp;,47,345,&nbsp;,&nbsp;,3,38.2,0.3,1,7.6,Sedimentary ,Porcellanite,&nbsp;,&nbsp;,&nbsp;,&nbsp;,20
230,Tusimice  ,50.4,13.4,1,1,Stratigraphy,N ,Czechia,Europe,T-,&nbsp;,64,6,&nbsp;,&nbsp;,2,39.9,2.1,5,6.5,Sedimentary ,Porcellanite,&nbsp;,&nbsp;,&nbsp;,&nbsp;,20
231,Velno ,50.4,13.4,1,1,Stratigraphy,R ,Czechia,Europe,T-,&nbsp;,-50,198,&nbsp;,&nbsp;,26,37.3,9.3,25,7.2,Sedimentary ,Porcellanite,&nbsp;,&nbsp;,&nbsp;,&nbsp;,20
232,Zabrusnay ,50.4,13.4,1,1,Stratigraphy,N ,Czechia,Europe,T-,&nbsp;,52,22,&nbsp;,&nbsp;,3,50.8,3.9,8,9.6,Sedimentary ,Porcellanite,&nbsp;,&nbsp;,&nbsp;,&nbsp;,20
233,Zelesky,50.4,13.4,1,1,Stratigraphy,N ,Czechia,Europe,T-,&nbsp;,61,15,&nbsp;,&nbsp;,3,42.5,4.3,10,7.2,Sedimentary ,Porcellanite,&nbsp;,&nbsp;,&nbsp;,&nbsp;,20
242,CA,-17.7,-149.7,1,0.1,K-Ar  ,T ,Society Islands ,Pacific Ocean,T+,&nbsp;,-29.7,10.6,&nbsp;,&nbsp;,1,54.3,&nbsp;,&nbsp;,12.7,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,25
243,M2C,-17.7,-149.7,1,0.1,K-Ar  ,T ,Society Islands ,Pacific Ocean,T+,&nbsp;,58,213.5,&nbsp;,&nbsp;,2,2.6,0.1,4,0.5,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,25
276,Crater Lake ,43,-122.5,1,1,Stratigraphy,N ,U.S.A.,North America,T-,&nbsp;,63,0,&nbsp;,&nbsp;,2,18,1,6,3,Volcanic  ,Andesite  ,&nbsp;,&nbsp;,&nbsp;,&nbsp;,27
280,Sacramento  ,41.1,-121.4,1,1,Stratigraphy,N ,U.S.A.,North America,T-,&nbsp;,59,335,&nbsp;,&nbsp;,3,28,2,7,4.9,Volcanic  ,Basalt,&nbsp;,&nbsp;,&nbsp;,&nbsp;,27
282,Skull Cave  ,41.7,-121.5,1,0.5,Stratigraphy,N ,U.S.A.,North America,T-,&nbsp;,51,347,&nbsp;,&nbsp;,7,36,4,11,6.9,Volcanic  ,Basalt,&nbsp;,&nbsp;,&nbsp;,&nbsp;,27
552,Kanto basalt,35,139,1,1,Estimated ,O ,Japan ,Asia  ,ONR,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,11,32,&nbsp;,&nbsp;,5.5,Volcanic  ,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,52
793,Kuju region DH  ,33.1,131.2,1,1,Stratigraphy,R ,Japan ,Asia  ,T-,&nbsp;,-51.2,241.7,&nbsp;,&nbsp;,4,49.6,6.5,13,10.6,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,VDMc = 9.5  ,&nbsp;,64
795,Kuju region K4  ,33.1,131.2,1,1,Stratigraphy,N ,Japan ,Asia  ,T-,&nbsp;,29.1,340.1,&nbsp;,&nbsp;,3,63.1,6.1,10,13.4,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,VDMc = 14.8 ,&nbsp;,64
796,Kuju region K7  ,33.1,131.2,1,1,Stratigraphy,N ,Japan ,Asia  ,T-,&nbsp;,34.4,323.7,&nbsp;,&nbsp;,5,43.9,6.1,14,9.3,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,VDMc = 9.9  ,&nbsp;,64
797,Kuju region KP  ,33.1,131.2,1,1,Stratigraphy,N ,Japan ,Asia  ,T-,&nbsp;,32.8,338.2,&nbsp;,&nbsp;,2,21.5,0.5,2,4.6,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,VDMc = 4.9  ,&nbsp;,64
1022,Gravnoi,45.5,3,1,1,Estimated ,N ,France,Europe,T-,&nbsp;,58.5,347.5,&nbsp;,&nbsp;,4,18,&nbsp;,&nbsp;,3.1,Sedimentary ,&nbsp;,Baked contact,&nbsp;,&nbsp;,&nbsp;,75
1364,Zao 01,38.14,140.46,1,&nbsp;,K-Ar  ,R ,Japan ,Asia  ,T+,8,-75.7,210.6,&nbsp;,9.1,2,33.9,3.9,12,4.7,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,93
1365,Zao 02,38.14,140.46,1,&nbsp;,K-Ar  ,R ,Japan ,Asia  ,T+,8,-36.2,210.6,&nbsp;,11.8,5,32.4,4.9,15,7.1,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,93
1451,Branany-Kankov  ,50.54,13.72,1,1,Estimated ,N ,Czechia,Europe,T-,18,69.9,1.2,12,10.6,8,27.7,5.2,19,4.2,Sedimentary ,Porcellanite,&nbsp;,Fe- and Mn-Oxides,&nbsp;,&nbsp;,101
1452,Dobrcice  ,50.48,13.75,1,1,Estimated ,N ,Czechia,Europe,T-,24,67,356.1,38,4.9,8,72.4,15,21,11.3,Sedimentary ,Porcellanite,&nbsp;,Fe- and Mn-Oxides,&nbsp;,&nbsp;,101
1453,Komorany  ,50.5,13.6,1,1,Estimated ,N ,Czechia,Europe,T-,21,58.3,342.7,42,5,8,29.1,1.9,7,5.1,Sedimentary ,Porcellanite,&nbsp;,Fe- and Mn-Oxides,&nbsp;,&nbsp;,101
1454,Komorany  ,50.51,13.59,1,1,Estimated ,N ,Czechia,Europe,T-,10,66.1,52.9,28,9.4,2,24,&nbsp;,&nbsp;,3.8,Sedimentary ,Porcellanite,&nbsp;,Fe- and Mn-Oxides,&nbsp;,&nbsp;,101
1455,Komorany  ,50.51,13.59,1,1,Estimated ,N ,Czechia,Europe,T-,17,61.9,68.9,40,5.7,6,22.6,&nbsp;,&nbsp;,3.8,Sedimentary ,Porcellanite,&nbsp;,Fe- and Mn-Oxides,&nbsp;,&nbsp;,101
1456,Komorany  ,50.5,13.6,1,1,Estimated ,N ,Czechia,Europe,T-,14,62.8,340.5,45,6,7,26.3,&nbsp;,&nbsp;,4.3,Sedimentary ,Porcellanite,&nbsp;,Fe- and Mn-Oxides,&nbsp;,&nbsp;,101
1457,Most-Lajsnik,50.5,13.67,1,1,Estimated ,R ,Czechia,Europe,T-,16,-56.2,202.6,26,7.4,8,28.7,2.4,8,5.2,Sedimentary ,Porcellanite,&nbsp;,Fe- and Mn-Oxides,&nbsp;,&nbsp;,101
1458,"Most-Lajsnik, new to",50.5,13.66,1,1,Estimated ,R ,Czechia,Europe,T-,24,-58.3,219.6,27,5.8,7,31.5,3.3,10,5.5,Sedimentary ,Porcellanite,&nbsp;,Fe- and Mn-Oxides,&nbsp;,&nbsp;,101
1459,Nechranice  ,50.35,13.9,1,1,Estimated ,N ,Czechia,Europe,T-,17,63.6,16,18,8.5,7,71.9,5.6,8,11.7,Sedimentary ,Porcellanite,&nbsp;,Fe- and Mn-Oxides,&nbsp;,&nbsp;,101
1460,Necichy-Vrsovice,50.38,13.84,1,1,Estimated ,N ,Czechia,Europe,T-,21,66.9,12.2,18,7.7,8,33.4,7.1,21,5.2,Sedimentary ,Porcellanite,&nbsp;,Fe- and Mn-Oxides,&nbsp;,&nbsp;,101
1461,Svincice  ,50.5,13.74,1,1,Estimated ,N ,Czechia,Europe,T-,12,75.1,345.6,15,11.6,7,39,9.4,24,5.5,Sedimentary ,Porcellanite,&nbsp;,Fe- and Mn-Oxides,&nbsp;,&nbsp;,101
1462,Tusimice  ,50.4,13.35,1,1,Estimated ,N ,Czechia,Europe,T-,10,68.7,15.1,16,12.3,10,39.5,6.6,17,6,Sedimentary ,Porcellanite,&nbsp;,Fe- and Mn-Oxides,&nbsp;,&nbsp;,101
1463,Zelenky-Zabrusany,50.6,13.78,1,1,Estimated ,N ,Czechia,Europe,T-,23,64.7,347.7,12,8.9,8,47,12.7,27,7.6,Sedimentary ,Porcellanite,&nbsp;,Fe- and Mn-Oxides,&nbsp;,&nbsp;,101
2523,SRG8  ,18.38,-94.93,1,0.1,K-Ar  ,R ,Mexico,North America,T+,9,-42.6,172.2,166,4.3,3,30.6,4.3,14,6.4,Volcanic  ,Basalt,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,170
2536,9,40.2,45.7,1,0.05,Estimated ,R ,Armenia,Europe,T-,37,-62,175,74,3,29,50,5.4,10,8.3,Volcanic  ,Andesite  ,Lava Flow ,&nbsp;,VDMc  ,&nbsp;,172
2537,10,40.2,45.7,1,0.05,Estimated ,R ,Armenia,Europe,T-,34,-61,176,76,3,31,50,5.6,11,8.4,&nbsp;,&nbsp;,Baked contact,&nbsp;,VDMc  ,&nbsp;,172
6635,0836a032003 ,-20,-177,1,0.3,Geomagnetic polarity timescale,O ,&nbsp;,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,25.3,7.2,28,5.6,Volcanic  ,Glass ,Lava Flow ,&nbsp;,VADM; Berggren et al. 1995,&nbsp;,512
6636,0836a037055 ,-20,-177,1,0.3,Geomagnetic polarity timescale,O ,&nbsp;,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,10,4.4,43,2.2,Volcanic  ,Glass ,Lava Flow ,&nbsp;,VADM; Berggren et al. 1995,&nbsp;,512
6637,0836a037073 ,-20,-177,1,0.3,Geomagnetic polarity timescale,O ,&nbsp;,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,13.4,0.4,3,3,Volcanic  ,Glass ,Lava Flow ,&nbsp;,VADM; Berggren et al. 1995,&nbsp;,512
6638,0836a04c003 ,-20,-177,1,0.3,Geomagnetic polarity timescale,O ,&nbsp;,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,4.4,&nbsp;,&nbsp;,1,Volcanic  ,Glass ,Lava Flow ,&nbsp;,VADM; Berggren et al. 1995,&nbsp;,512
6639,0836b091100 ,-20,-177,1,0.3,Geomagnetic polarity timescale,O ,&nbsp;,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,41.7,0.3,0,9.3,Volcanic  ,Glass ,Lava Flow ,&nbsp;,VADM; Berggren et al. 1995,&nbsp;,512
8076,Otuataua  ,-36.99,174.74,1,1,&nbsp;,N ,New Zealand ,Pacific Ocean,LTD-DHT-S ,16,-55.6,3.4,212.7,2.4,7,23,3.6,15,4.2,Volcanic  ,Basalt,Lava Flow ,titanomagnetite ,&nbsp;,Auckland Volcanic Field ,605
8551,sr39  ,43.58,-111.73,1,1,Estimated ,R ,USA,North America,T+,6,-47.7,187.3,167.5,5.3,2,50.2,1.4,2,10,Volcanic  ,Basalt,Lava flow ,&nbsp;,VADM=(8.32)x10^22 Am^2  ,Snake River Plain. Idaho  ,640
369,UV11  ,35,139.1,1.03,0.04,Geomagnetic polarity timescale,N ,Japan ,Asia  ,T-,&nbsp;,62.6,342.7,&nbsp;,&nbsp;,1,51.5,&nbsp;,&nbsp;,8.5,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,"Dating: Kaneoka et al., 1970, JGG, 22, 559-516. ",&nbsp;,38
370,UV12  ,35,139.1,1.03,0.04,Geomagnetic polarity timescale,N ,Japan ,Asia  ,T-,&nbsp;,46.7,343.2,&nbsp;,&nbsp;,1,46.5,&nbsp;,&nbsp;,9.3,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,"Dating: Kaneoka et al., 1970, JGG, 22, 559-516. ",&nbsp;,38
371,UV13  ,35,139.1,1.03,0.04,Geomagnetic polarity timescale,N ,Japan ,Asia  ,T-,&nbsp;,49,358.6,&nbsp;,&nbsp;,3,54.5,&nbsp;,&nbsp;,10.7,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,"Dating: Kaneoka et al., 1970, JGG, 22, 559-516. ",&nbsp;,38
372,UV14  ,35,139.1,1.03,0.04,Geomagnetic polarity timescale,N ,Japan ,Asia  ,T-,&nbsp;,49.2,354.6,&nbsp;,&nbsp;,1,37,&nbsp;,&nbsp;,7.2,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,"Dating: Kaneoka et al., 1970, JGG, 22, 559-516. ",&nbsp;,38
373,UV16  ,35,139.1,1.03,0.04,Geomagnetic polarity timescale,N ,Japan ,Asia  ,T-,&nbsp;,36.7,353.1,&nbsp;,&nbsp;,1,13.5,&nbsp;,&nbsp;,3,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,"Dating: Kaneoka et al., 1970, JGG, 22, 559-516. ",&nbsp;,38
374,UV17  ,35,139.1,1.03,0.04,Geomagnetic polarity timescale,N ,Japan ,Asia  ,T-,&nbsp;,47.1,351.4,&nbsp;,&nbsp;,1,84,&nbsp;,&nbsp;,16.8,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,"Dating: Kaneoka et al., 1970, JGG, 22, 559-516. ",&nbsp;,38
6670,PU05  ,-17.65,-149.38,1.03,0.02,K-Ar  ,N ,French Polynesia,Pacific Ocean,LTD-DHT-S ,7,-33.4,19.9,&nbsp;,6.1,5,15.1,1.8,11,3.4,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Dating: Uto et al., submitted ",&nbsp;,513
2778,Dachbashi ,41.59,44.13,1.05,&nbsp;,K-Ar  ,R ,Georgia,Europe,T-,1,-62,207,&nbsp;,&nbsp;,1,51.5,&nbsp;,&nbsp;,8.6,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VDMc  ,&nbsp;,187
2843,Tammar 806  ,21.7,-45.38,1.07,&nbsp;,Estimated ,O ,&nbsp;,Atlantic Ocean  ,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,30.5,&nbsp;,&nbsp;,6.6,Volcanic  ,Basalt,Pillow,&nbsp;,VADM  ,&nbsp;,191
8971,mc229 ,-77.48,167.15,1.07,0.18,Ar-Ar ,R ,Antarctica  ,Antarctica  ,T+,&nbsp;,73,100,346.4,3,3,31.2,3.9,12,4.5,Volcanic  ,Basalt,Lava flow ,Magnetite and Hematite mix,VDMc  ,"Erebus Volcanic Province, Ross Island, Antartica",663
8942,mc119 ,-78.24,162.96,1.08,0.22,Ar-Ar ,R ,Antarctica  ,Antarctica  ,T+,&nbsp;,49,124.8,864.8,2.3,5,41,2,4,8,Volcanic  ,Basalt,Lava flow ,Magnetite and Hematite mix,VDMc  ,"Erebus Volcanic Province, Ross Island, Antartica",663
237,BKB,-17.7,-149.7,1.1,0.1,K-Ar  ,T ,Society Islands ,Pacific Ocean,T+,&nbsp;,10.6,181.7,&nbsp;,&nbsp;,2,27.9,0.8,3,7.1,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,25
238,BKI,-17.7,-149.7,1.1,0.1,K-Ar  ,T ,Society Islands ,Pacific Ocean,T+,&nbsp;,-40.3,160,&nbsp;,&nbsp;,4,7.9,0.9,11,1.7,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,25
239,BKK,-17.7,-149.7,1.1,0.1,K-Ar  ,T ,Society Islands ,Pacific Ocean,T+,&nbsp;,-5.7,221.3,&nbsp;,&nbsp;,2,6.5,3.7,57,1.7,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,25
240,BKP,-17.7,-149.7,1.1,0.1,K-Ar  ,T ,Society Islands ,Pacific Ocean,T+,&nbsp;,28.7,348.1,&nbsp;,&nbsp;,4,8.1,1,12,1.9,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,25
241,BKT1  ,-17.7,-149.7,1.1,0.1,K-Ar  ,T ,Society Islands ,Pacific Ocean,T+,&nbsp;,45.8,358.7,&nbsp;,&nbsp;,1,4,&nbsp;,&nbsp;,0.8,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,25
244,PKC,-17.7,-149.7,1.1,0.1,K-Ar  ,T ,Society Islands ,Pacific Ocean,T+,&nbsp;,6.4,220.8,&nbsp;,&nbsp;,3,6.3,0.2,3,1.6,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,25
2535,8,41,44.5,1.1,0.05,Estimated ,R ,Armenia,Europe,T-,16,-59,170,21,8,12,47,6.9,14,8.1,Volcanic  ,Dolerite  ,Lava Flow ,&nbsp;,VDMc  ,&nbsp;,172
2783,Kumurdo,41.4,43.35,1.12,&nbsp;,K-Ar  ,N ,Georgia,Europe,T-,12,47,28,82,7.2,1,39.1,&nbsp;,&nbsp;,7.8,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VDMc  ,&nbsp;,187
6671,PU01  ,-17.63,-149.57,1.12,0.02,K-Ar  ,R ,French Polynesia,Pacific Ocean,LTD-DHT-S ,7,33.1,160.8,&nbsp;,4.6,4,9.5,0.9,9,2.2,Volcanic  ,Basalt,Lava Flow ,&nbsp;,"Dating: Uto et al., submitted ",&nbsp;,513
8940,mc116 ,-78.22,162.74,1.14,0.11,Ar-Ar ,N ,Antarctica  ,Antarctica  ,T+,&nbsp;,-81.2,274.6,139.7,6.5,2,39.8,1.8,4,5.3,Volcanic  ,Basalt,Lava flow ,Magnetite and Hematite mix,VDMc  ,"Erebus Volcanic Province, Ross Island, Antartica",663
2534,7,40.3,44.2,1.15,0.05,Estimated ,R ,Armenia,Europe,T-,12,-68,192,25,9,12,51,6.9,13,7.9,Volcanic  ,Andesite  ,Lava Flow ,&nbsp;,VDMc  ,&nbsp;,172
8523,mc01  ,-77.85,166.64,1.18,0.01,Ar-Ar ,R ,Antarctica  ,Antarctica  ,T+,7,77.7,250.4,199,4.3,2,18.4,2.1,11,2.5,Volcanic  ,&nbsp;,Lava flow ,&nbsp;,"VADM=(2,42+-0,28)x10^22 Am^2  ","McMurdo Sound, Antarctica ",639
8542,mc32  ,-78.36,164.3,1.18,0.02,K-Ar  ,N ,Antarctica  ,Antarctica  ,T+,7,-74.6,265.1,344,3.3,3,29.8,2.1,7,4.2,Volcanic  ,&nbsp;,Lava flow ,&nbsp;,"VADM=(3,91+-0,28)x10^22 Am^2  ","McMurdo Sound, Antarctica ",639
8543,mc33  ,-78.38,164.34,1.18,0.02,K-Ar  ,N ,Antarctica  ,Antarctica  ,T+,8,-75.5,9.7,343,3,1,33,&nbsp;,&nbsp;,4.6,Volcanic  ,&nbsp;,Lava flow ,&nbsp;,&nbsp;,"McMurdo Sound, Antarctica ",639
8544,mc34  ,-78.39,164.27,1.18,0.02,K-Ar  ,N ,Antarctica  ,Antarctica  ,T+,8,-82,280.1,319,3.4,1,26.5,&nbsp;,&nbsp;,3.5,Volcanic  ,&nbsp;,Lava flow ,&nbsp;,&nbsp;,"McMurdo Sound, Antarctica ",639
8545,mc38  ,-78.4,164.21,1.18,0.02,K-Ar  ,N ,Antarctica  ,Antarctica  ,T+,7,-78,296.6,224,4,1,46.3,&nbsp;,&nbsp;,6.4,Volcanic  ,&nbsp;,Lava flow ,&nbsp;,&nbsp;,"McMurdo Sound, Antarctica ",639
