UID,OLD_DATA,REF,IDENT,SLAT,SLONG,AGE,DAGE,AGEMTD,CONTINENT,REPLOC,INTM,P,NDIR,INC,DEC,K,A95,NINT,B,DB,DB%,DBN (%),VDM/VADM,VDM,VADM,GROUP,TYPE,FORM,ROCKMAG,COMMENTS,LOCATION NAME,QAGE,QSTAT,QTRM,QALT,QMD,QACN,QTECH,QLITH,QMAG,QDIR,QPI
4110,,714,SR10,41.50163889,43.278,2.07,,Ar/Ar,Asia,Georgia,M;S,O,,-50,210,,,4,52.8,2.8,5.303030303,8.58,,10.21656646,,Volcanic,,Lava Flow,Titanomagnetite,VDM uses aprox Inc,Djavakheti Highland,0,0,0,1,0,0,1,0,0,0,2
4111,,714,SR6,41.50163889,43.278,2.07,,Ar/Ar,Asia,Georgia,T+,O,,-65,190,,,7,22.3,16.6,74.43946188,148.9,,3.573284883,,Volcanic,,Lava Flow,Titanomagnetite,VDM uses aprox Inc,Djavakheti Highland,0,0,0,1,0,0,1,0,0,0,2
1920,2425,162,KO10,21.38,202.1,2.08,,Estimated,Pacific Ocean,Hawaii,T+,R,3,-37,,,8,3,26.5,1.5,6,9.823286588,,5.848478906,5.794384882,Volcanic,Basalt,Lava Flow,,"VADM ; VDMc = 5,8",,0,0,0,1,1,0,0,0,0,0,2
1921,2426,162,KO11,21.38,202.1,2.09,,Estimated,Pacific Ocean,Hawaii,T+,R,3,-40,,,2,2,30.2,,,,6.6,6.487710418,6.603412205,Volcanic,Basalt,Lava Flow,,"VADM ; VDMc = 6,5",,0,0,0,1,1,0,0,0,0,0,2
4077,,711,DB9A2 ,11.8458,41.6675,2.09,,Estimated,Africa,Ethiopia,T+;LTD-DHT-S,R,5,-24.7,0.8,278.4,4.4,3,3.63,0.46,12.7,22.23126543,0.0875,0.875083321,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,"age interpolated from K-Ar dates, top 1.93 Ma, bottom 2.18 (MWSD of dates)",Dobi section,0,0,0,1,1,0,1,0,0,1,4
535,772,62,V002,64.9,344.7,2.1,1,Stratigraphy,Atlantic Ocean,Iceland,S,N,,79.3,273.3,,,1,27.4,,,,,3.7214576,,Volcanic,,Lava Flow,,,,0,0,0,1,1,0,0,0,0,0,2
536,773,62,V009,64.9,344.7,2.1,1,Stratigraphy,Atlantic Ocean,Iceland,S,T,,-43.1,66.2,,,1,14.1,,,,,2.939337098,,Volcanic,,Lava Flow,,,,0,0,0,1,1,0,0,0,0,0,2
537,774,62,V010,64.9,344.7,2.1,1,Stratigraphy,Atlantic Ocean,Iceland,S,N,,77.1,34.4,,,1,198.7,,,,,27.54541379,,Volcanic,,Lava Flow,,,,0,0,0,1,1,0,0,0,0,0,2
538,775,62,V015,64.9,344.7,2.1,1,Stratigraphy,Atlantic Ocean,Iceland,S,R,,-83.5,233.2,,,1,46.9,,,,,6.179557701,,Volcanic,,Lava Flow,,,,0,0,0,1,1,0,0,0,0,0,2
539,776,62,V016,64.9,344.7,2.1,1,Stratigraphy,Atlantic Ocean,Iceland,S,R,,-56.7,213.6,,,1,30.6,,,,,5.459834014,,Volcanic,,Lava Flow,,,,0,0,0,1,1,0,0,0,0,0,2
540,777,62,V019,64.9,344.7,2.1,1,Stratigraphy,Atlantic Ocean,Iceland,S,N,,83.7,88,,,1,55.4,,,,,7.291361499,,Volcanic,,Lava Flow,,,,0,0,0,1,1,0,0,0,0,0,2
1922,2427,162,KO12,21.38,202.1,2.1,,Estimated,Pacific Ocean,Hawaii,T+,R,3,-42,,,6,3,29.4,6.3,21,38.57713133,6.5,6.196108074,6.428487379,Volcanic,Basalt,Lava Flow,,"VADM ; VDMc = 6,2",,0,0,0,1,1,0,0,0,0,0,2
1923,2428,162,KO13,21.38,202.1,2.1,,Estimated,Pacific Ocean,Hawaii,T+,R,3,-38,,,6,3,40.3,2,5,8.607314533,8.9,8.816569872,8.811838142,Volcanic,Basalt,Lava Flow,,"VADM ; VDMc = 8,8",,0,0,0,1,1,0,0,0,0,0,2
1924,2429,162,KO14,21.38,202.1,2.1,,Estimated,Pacific Ocean,Hawaii,T+,R,3,-41,,,2,2,29.2,,,,6.4,6.213852025,6.384756172,Volcanic,Basalt,Lava Flow,,"VADM ; VDMc = 6,2",,0,0,0,1,1,0,0,0,0,0,2
1925,2430,162,KO15,21.38,202.1,2.1,,Estimated,Pacific Ocean,Hawaii,T+,R,3,-43,,,6,1,26.5,,,,5.8,5.529834141,5.794384882,Volcanic,Basalt,Lava Flow,,"VADM ; VDMc = 5,5",,0,0,0,1,1,0,0,0,0,0,2
1926,2431,162,KO16,21.38,202.1,2.1,,Estimated,Pacific Ocean,Hawaii,T+,R,3,-36,,,7,1,17.9,,,,3.9,3.984283053,3.913942996,Volcanic,Basalt,Lava Flow,,"VADM ; VDMc = 4,0",,0,0,0,1,1,0,0,0,0,0,2
1927,2432,162,KO18,21.38,202.1,2.1,,Estimated,Pacific Ocean,Hawaii,T+,R,3,-36,,,1,1,33,,,,,7.3453263,7.215649099,Volcanic,Basalt,Lava Flow,,"VADM ; VDMc = 7,3",,0,0,0,1,1,0,0,0,0,0,2
1928,2433,162,KO22,21.38,202.1,2.1,,Estimated,Pacific Ocean,Hawaii,T+,R,3,-36,,,3,2,42.4,,,,9.3,9.437631367,9.271015812,Volcanic,Basalt,Lava Flow,,"VADM ; VDMc = 9,4",,0,0,0,1,1,0,0,0,0,0,2
4112,,714,SR11,41.50163889,43.278,2.1,,Ar/Ar,Asia,Georgia,T+;M;S,O,,-45,210,,,3,62.7,6.2,9.888357257,17.26,,0.801399175,,Volcanic,,Lava Flow,Titanomagnetite,VDM uses aprox Inc,Djavakheti Highland,0,0,0,1,0,0,1,0,0,0,2
4078,,711,DB9A1 ,11.8458,41.6675,2.11,,Estimated,Africa,Ethiopia,T+;LTD-DHT-S,N,8,23.9,13.9,134.8,4.8,1,5.74,,,,,1.389980025,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,"age interpolated from K-Ar dates, top 1.93 Ma, bottom 2.18 (MWSD of dates)",Dobi section,0,0,0,1,1,0,1,0,0,1,4
4113,,714,SR5,41.50163889,43.278,2.11,0.1,Ar/Ar,Asia,Georgia,T+,O,,-65,200,,,2,35.5,5.52,15.54929577,31.21,,5.688413154,,Volcanic,,Lava Flow,Titanomagnetite,VDM uses aprox Inc,Djavakheti Highland,1,0,0,1,0,0,1,0,0,0,3
4079,,711,DB6 ,11.8358,41.6716,2.12,0.09,K-Ar,Africa,Ethiopia,T+;LTD-DHT-S,N,9,30.3,32,41.8,8.1,1,8.35,,,,,1.942260215,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,,Dobi section,1,0,0,1,1,0,1,0,0,0,4
4114,,714,SR12,41.50163889,43.278,2.12,,Ar/Ar,Asia,Georgia,T+;M;S,O,,-60,194,,,3,61.7,7.1,11.50729335,20.14,,10.55351199,,Volcanic,,Lava Flow,Titanomagnetite,VDM uses aprox Inc,Djavakheti Highland,0,0,0,1,0,0,1,0,0,0,2
4080,,711,DB9B ,11.8352,41.672,2.13,,Estimated,Africa,Ethiopia,T+;LTD-DHT-S,N,13,32.5,25.8,221.3,2.8,3,17.6,1.2,6.8,11.84691198,0.403,4.028561079,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,"age interpolated from K-Ar dates, top 1.93 Ma, bottom 2.18 (MWSD of dates)",Dobi section,0,0,0,1,1,0,1,0,0,1,4
1664,2112,144,FL'1/FL'2,64.4,338.6,2.138,0.01,GPTS,Atlantic Ocean,Iceland,T+,N,4,69.4,51.2,397,4.6,7,23.08571429,0.880205604,3.812771798,5.527757879,,3.493897414,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,1,1,1,1,0,0,0,0,0,5
1665,2117,144,FL9,64.4,338.6,2.138,0.01,GPTS,Atlantic Ocean,Iceland,T+,N,6,72.3,46.6,198,4.8,2,21.05,0.494974747,0.02351424,4.611177093,,3.1,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,0,1,1,0,0,0,0,1,4
1666,2123,144,HU20,64.4,338.6,2.138,0.01,GPTS,Atlantic Ocean,Iceland,T+,N,3,69.5,41.6,103,12.2,3,40.36666667,5.063924697,12.54481758,22.00183594,,6.101604034,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,0,1,0,0,0,0,0,0,2
1667,2137,144,KY07,64.3,338.6,2.138,0.01,GPTS,Atlantic Ocean,Iceland,T+,N,6,84.1,311.2,1195,1.9,4,25.675,1.252663828,4.878924355,7.888117814,,3.370351844,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,0,1,0,0,0,0,0,1,3
1668,2143,144,PV'9,64.4,338.6,2.138,0.01,GPTS,Atlantic Ocean,Iceland,T+,N,4,72.9,37.3,73,10.8,2,22.75,0.070710678,0.310816168,0.609220327,,3.299498611,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,0,1,1,0,0,0,0,0,3
1669,2153,144,SB'1/2,64.1,338.6,2.138,0.01,GPTS,Atlantic Ocean,Iceland,T+,N,5,69.2,10.1,397,3.8,5,12.64,3.903588093,30.88281719,50.68924107,,1.917819387,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,1,0,0,0,0,1,5
1670,2154,144,SB'14,64.1,338.6,2.138,0.01,GPTS,Atlantic Ocean,Iceland,T+,N,3,63.5,337.4,57,16.5,3,19.33333333,10.68753168,55.28033626,130.8414303,,3.157804378,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,1,0,0,0,0,0,4
1671,2155,144,SB'5,64.1,338.6,2.138,0.01,GPTS,Atlantic Ocean,Iceland,T+,N,4,65.1,9.1,316,5.2,3,30.9,12.54073363,40.58489848,81.84085936,,4.94253465,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,0,1,0,0,0,0,0,0,2
4323,2116,144;601,FL8,64.4,338.6,2.138,0.01,GPTS,Atlantic Ocean,Iceland,T+;M,N,6,64.8,27.6,198,4.8,8,50.6125,26.31905543,52.00109741,84.72018602,,8.12738089,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,0,1,1,0,0,1,6
1917,2391,161,Gamarri GA02,11.62,41.65,2.14,0.06,K-Ar,Africa,Ethiopia,Tv,R,8,-2.5,189.5,202,3.9,2,23.9,4.7,20,40.05972763,,6.2,,Volcanic,Basalt,Lava Flow,,VDMc,"Afar, Ethiopia",1,0,0,0,0,0,0,0,0,1,2
1672,2115,144,FL4,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+,T,3,-23.2,49.3,477,5.6,3,11.03333333,2.557994006,23.1842357,42.02870679,,2.680739976,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,1,0,0,0,0,0,4
1673,2120,144,HU11,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+,T,6,-14.1,49.7,1097,2.1,3,7.3,0.721110255,9.878222673,17.23764738,,1.844395085,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,1,0,0,0,0,1,5
1674,2122,144,HU19,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+,T,3,-20.2,51.3,797,4.4,3,12.06666667,2.371356855,19.65212863,35.15307531,,2.97621238,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,0,1,1,0,0,0,0,0,3
1675,2132,144,KY'00,64.3,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+,T,6,-70.1,57.1,101,6.7,2,15.1,1.13137085,7.492522185,14.76490474,,2.265383199,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,0,1,0,0,0,0,0,1,3
1676,2134,144,KY01,64.3,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+,T,4,-64.9,54.6,211,6.3,3,12.3,3.579106034,29.09842304,54.25460368,,1.972561579,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,0,1,0,0,0,0,0,0,2
1677,2135,144,KY02,64.3,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+,T,5,-53.4,52.7,193,5.5,4,13.275,4.677873448,35.23821807,62.55762979,,2.46624106,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,0,1,0,0,0,0,0,1,3
1678,2136,144,KY03,64.3,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+,T,6,-26.1,47.6,167,5.2,4,6.75,0.591607978,8.764562642,14.2252485,,1.61311201,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,0,1,1,0,0,0,0,1,4
1679,2140,144,PV'3,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+,T,5,-15.6,50.9,313,4.3,5,16.3,2.587469807,15.87404789,24.85381184,,4.097290335,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,1,1,1,0,0,0,0,0,1,5
1680,2141,144,PV'4,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+,T,4,-17.4,52.7,412,4.5,4,12.45,3.713488926,29.82722029,51.48720688,,3.108224646,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,1,0,0,0,0,0,4
1681,2142,144,PV'5,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+,T,4,-14.8,44.7,229,6.1,3,9.966666667,2.236813209,0.224429419,40.56268266,,2.512304785,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,0,0,0,0,0,0,3
1682,2148,144,PV5/7A,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+,T,2,-34.3,50.8,,,2,11.75,2.333452378,19.85916917,40.48692139,,2.650848179,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,1,0,0,0,0,0,4
1683,2149,144,PV7A,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+,T,3,-19.4,46.2,558,5.2,2,11.4,1.414213562,12.40538213,24.68162871,,2.822067646,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,0,0,0,0,0,0,3
1684,2150,144,PV7B,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+,T,3,-22.1,49.8,1752,2.9,3,5.733333333,0.472581563,8.242701674,14.34784917,,1.401056796,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,0,0,0,0,0,0,3
4324,2121,144;601,HU12,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+;M,T,3,-15.6,51.3,424,4.5,4,12.625,4.276583527,33.87392893,59.68074347,,3.173514753,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,0,1,1,0,0,0,5
4325,2138,144;601,PV'1,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+;M,T,5,-17.7,48.4,217,5.2,5,10.36,1.938556164,18.71193208,29.48762274,,2.583310397,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,1,1,1,0,0,1,7
4326,2139,144;601,PV'2,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+;M,T,4,-16.9,48.1,163,7.2,5,11.66,3.917014169,33.59360351,55.8071924,,2.916744382,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,1,1,1,0,0,0,6
4327,2147,144;601,PV5,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+;M,T,3,-7.6,47.9,2415,2.5,5,6.94,1.409964539,20.31649191,32.14955975,,1.782010268,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,1,1,1,0,0,0,6
4328,2151,144;601,PV8,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+;M,T,3,-23.3,47.2,495,5.5,5,8,1.941648784,24.2706098,38.86198051,,1.942694317,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,1,1,1,0,0,0,6
4329,2152,144;601,PV9,64.4,338.6,2.148,0.01,GPTS,Atlantic Ocean,Iceland,T+;M,T,4,-19.3,51.6,252,5.8,5,11.94,2.496597685,20.90952835,33.14187602,,2.957062908,,Volcanic,Basalt,Lava Flow,,,"Esja, Iceland",1,0,1,1,1,1,1,0,0,0,6
2889,8030,601,U14,64,339,2.15,0.02,GPTS,Atlantic Ocean,Iceland,M+,T,,,,,,1,6.2,,,,1.6,,,Volcanic,Tholeiite,lava Flow,titanomagnetite,Class 2,"Esja, Iceland",1,0,0,0,0,1,0,0,0,0,2
2890,8032,601,U16,64,339,2.15,0.02,GPTS,Atlantic Ocean,Iceland,M+,T,,,,,,1,10,,,,2.6,,,Volcanic,Tholeiite,lava Flow,titanomagnetite,Class 2,"Esja, Iceland",1,0,0,0,0,1,0,0,0,0,2
2891,8033,601,U17,64,339,2.15,0.02,GPTS,Atlantic Ocean,Iceland,M+,N,,,,,,1,22.8,,,,3.2,,,Volcanic,Tholeiite,lava Flow,titanomagnetite,Class 1,"Esja, Iceland",1,0,0,1,1,1,0,0,0,0,4
4115,,714,SR14,41.50163889,43.278,2.15,0.15,Ar/Ar,Asia,Georgia,T+,O,,-56,194,,,2,49,11,22.44897959,46.3,,8.820148198,,Volcanic,,Lava Flow,Titanomagnetite,VDM uses aprox Inc,Djavakheti Highland,1,0,0,1,0,0,0,0,0,0,2
4116,,714,SR17,41.50163889,43.278,2.15,,Ar/Ar,Asia,Georgia,T+,O,,-60,200,,,3,68.8,3.8,5.523255814,9.58,,11.76793558,,Volcanic,,Lava Flow,Titanomagnetite,VDM uses aprox Inc,Djavakheti Highland,0,0,0,1,0,0,1,0,0,0,2
4117,,714,SR25,41.50163889,43.278,2.15,,Ar/Ar,Asia,Georgia,T+;M;S,O,,-60,210,,,3,39.6,0.3,0.757575758,1.31,,6.773404779,,Volcanic,,Lava Flow,Titanomagnetite,VDM uses aprox Inc,Djavakheti Highland,0,0,0,1,0,0,0,0,0,0,1
4118,,714,SR26,41.50163889,43.278,2.15,,Ar/Ar,Asia,Georgia,T+;M;S,O,,-65,209,,,1,32.1,13.4,41.74454829,,,5.143607387,,Volcanic,,Lava Flow,Titanomagnetite,VDM uses aprox Inc,Djavakheti Highland,0,0,0,1,0,0,0,0,0,0,1
4119,,714,SR29,41.50163889,43.278,2.15,,Ar/Ar,Asia,Georgia,T+;M;S,O,,-59,200,,,1,26.8,,,,,4.643609694,,Volcanic,,Lava Flow,Titanomagnetite,VDM uses aprox Inc,Djavakheti Highland,0,0,0,0,0,0,0,0,0,0,0
4120,,714,SR31,41.50163889,43.278,2.15,,Ar/Ar,Asia,Georgia,T+;M;S,O,,-62,194,,,1,17.2,,,,,2.866379038,,Volcanic,,Lava Flow,Titanomagnetite,VDM uses aprox Inc,Djavakheti Highland,0,0,0,0,0,0,0,0,0,0,0
1929,2434,162,KO25,21.38,202.1,2.16,,Estimated,Pacific Ocean,Hawaii,T+,R,2,-34,,,3,1,48,,,,10.6,10.86001086,10.4954896,Volcanic,Basalt,Lava Flow,,"VADM ; VDMc = 10,9",,0,0,0,1,1,0,0,0,0,0,2
1930,2435,162,KO26,21.38,202.1,2.17,,Estimated,Pacific Ocean,Hawaii,T+,R,3,-33,,,3,2,34.5,,,,7.6,7.86682407,7.543633149,Volcanic,Basalt,Lava Flow,,"VADM ; VDMc = 7,9",,0,0,0,1,1,0,0,0,0,0,2
4081,,711,DB7 ,11.8356,41.6718,2.18,,Estimated,Africa,Ethiopia,T+;LTD-DHT-S,N,9,35.1,3.3,277,3.1,7,21.3,2.7,12.9,18.52428246,0.478,4.776601982,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,"age interpolated from K-Ar dates, top 1.93 Ma, bottom 2.18 (MWSD of dates)",Dobi section,0,1,0,1,1,0,1,0,0,1,5
1931,2436,162,KO31,21.38,202.1,2.19,,Estimated,Pacific Ocean,Hawaii,T+,R,3,-40,,,1,2,47.7,,,,10.5,10.24714526,10.42989279,Volcanic,Basalt,Lava Flow,,"VADM ; VDMc = 10,2",,0,0,0,1,1,0,0,0,0,0,2
3428,8956,663,mc154,-77.719,162.626,2.19,0.08,Ar/Ar,Antarctica,Antarctica,T+,R,5,87.1,297.9,429.1,3.7,2,8,1,12,24.87568316,,1.03835031,,Volcanic,Basalt,Lava flow,Magnetite and Hematite mix,VDMc; estimated NDIR,"Erebus Volcanic Province, Ross Island, Antartica",1,0,0,1,0,1,0,0,1,1,5
1997,2522,170,SRG3,18.43,264.66,2.2,0.3,K-Ar,North America,Mexico,T+,R,7,-29.4,172.1,91,4.8,4,34.7,7.3,21,35.08578938,,8.122004012,,Volcanic,Basalt,Lava Flow,,,,0,0,0,1,1,0,0,0,1,1,4
4082,,711,DB4 ,11.8367,41.6711,2.21,,Estimated,Africa,Ethiopia,T+;LTD-DHT-S,R,11,1.1,203.8,292.4,2.7,4,7.61,0.36,4.7,7.647545522,0.197,1.967648156,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,"age interpolated from K-Ar dates, top 2.18 (MWSD of dates), bottom 2.34 (inferred from chron)",Dobi section,0,0,0,1,1,0,1,0,0,1,4
4083,,711,DB8 ,11.8356,41.6718,2.21,0.07,K-Ar,Africa,Ethiopia,T+;LTD-DHT-S,N,9,28.3,6.9,40.7,8.2,2,8.98,,,,,2.117444665,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,,Dobi section,1,0,0,1,1,0,1,0,0,0,4
4084,,711,DB3 ,11.8367,41.6711,2.22,,Estimated,Africa,Ethiopia,T+;LTD-DHT-S,R,11,-10.4,186.5,142.5,3.8,3,5.26,0.98,18.6,33.21346798,0.134,1.34349319,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,"age interpolated from K-Ar dates, top 2.18 (MWSD of dates), bottom 2.34 (inferred from chron)",Dobi section,0,0,0,1,1,0,1,0,0,1,4
4085,,711,DB2 ,11.8432,41.6689,2.23,,Estimated,Africa,Ethiopia,T+;LTD-DHT-S,R,12,-13.5,182.5,511.9,1.9,9,27.7,3.8,13.6,19.27049713,0.7,7.015211093,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,"age interpolated from K-Ar dates, top 2.18 (MWSD of dates), bottom 2.34 (inferred from chron)",Dobi section,0,1,0,1,1,0,1,0,0,1,5
753,903,67,Victoria 03,-37.8,144.8,2.25,2.25,Estimated,Australia,Australia,S;T-,N,,-59.2,6.2,,,4,62.7,1.5,2,3.862786724,,10.8,,Volcanic,,,,,Victoria,0,0,0,1,1,0,1,0,0,0,3
754,904,67,Victoria 06,-37.8,144.8,2.25,2.25,Estimated,Australia,Australia,S;T-,R,,58.5,183.7,,,3,65.9,2.3,3,6.046921823,,11.5,,Volcanic,,,,,Victoria,0,0,0,1,1,0,1,0,0,0,3
755,905,67,Victoria 32,-37.8,142.1,2.25,2.25,Estimated,Australia,Australia,S;T-,R,,36.4,190.5,,,4,57.7,0.2,0,0.559440983,,12.8,,Volcanic,,,,,Victoria,0,0,0,1,1,0,1,0,0,0,3
756,906,67,Victoria 37,-37.6,143.9,2.25,2.25,Estimated,Australia,Australia,S;T-,N,,-53.1,1.3,,,2,57.5,2.2,4,7.509557547,,10.7,,Volcanic,,,,,Victoria,0,0,0,1,1,0,1,0,0,0,3
757,907,67,Victoria 38,-37.6,143.9,2.25,2.25,Estimated,Australia,Australia,S;T-,N,,56.1,178.5,,,2,69.3,6.4,9,18.25078446,,12.5,,Volcanic,,,,,Victoria,0,0,0,1,1,0,1,0,0,0,3
4086,,711,DB1 ,11.8432,41.6689,2.25,,Estimated,Africa,Ethiopia,T+;LTD-DHT-S,R,10,-5.6,179.4,400.5,2.4,4,18.9,2.6,13.8,22.51288047,0.487,4.869991792,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,"age interpolated from K-Ar dates, top 2.18 (MWSD of dates), bottom 2.34 (inferred from chron)",Dobi section,0,0,0,1,1,0,1,0,0,1,4
4087,,711,DB(-1)A ,11.8454,41.67,2.26,,Estimated,Africa,Ethiopia,T+;LTD-DHT-S,R,10,14.6,201.4,206.2,3.4,1,13.9,,,,,3.507800988,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,"age interpolated from K-Ar dates, top 2.18 (MWSD of dates), bottom 2.34 (inferred from chron)",Dobi section,0,0,0,1,1,0,1,0,0,1,4
4088,,711,DB(-1)B ,11.8454,41.67,2.27,,Estimated,Africa,Ethiopia,T+;LTD-DHT-S,R,9,-14.3,188.5,308.2,2.9,3,31.3,12.2,39,77.57757006,,7.906727735,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,"age interpolated from K-Ar dates, top 2.18 (MWSD of dates), bottom 2.34 (inferred from chron)",Dobi section,0,0,0,1,1,0,1,0,0,1,4
3429,8941,663,mc117,-78.235,162.973,2.28,0.24,Ar/Ar,Antarctica,Antarctica,T+,R,6,70,164.5,3152.4,1.2,4,26.4,0.7,2,4.281679351,,3.967470494,,Volcanic,Basalt,Lava flow,Magnetite and Hematite mix,VDMc; estimated NDIR,"Erebus Volcanic Province, Ross Island, Antartica",1,0,0,1,1,1,0,0,1,1,6
2184,2788,187,Satxe 2,41.23,43.65,2.29,,K-Ar,Europe,Georgia,T-,R,4,-32,224,61,6.3,1,45.3,,,,,10.40798366,,Volcanic,Basalt,Lava Flow,,VDMc,,0,0,0,0,0,0,0,0,0,0,0
4089,,711,DB(-2) ,11.8454,41.67,2.29,,Estimated,Africa,Ethiopia,T+;LTD-DHT-S,R,8,-11.1,178,724.8,2.1,1,26.2,,,,,6.680396551,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,"age interpolated from K-Ar dates, top 2.18 (MWSD of dates), bottom 2.34 (inferred from chron)",Dobi section,0,0,0,1,1,0,1,0,0,1,4
2185,2786,187,Saposovka 2,41.2,43.66,2.3,,Estimated,Europe,Georgia,T-,N,3,41,344,70,8.6,1,35.9,,,,,7.639633141,,Volcanic,Basalt,Lava Flow,,VDMc,,0,0,0,0,0,0,0,0,0,0,0
3216,8547,639,mc48,-78.24,163.36,2.3,2.3,Stratigraphy,Antarctica,,T+,N,6,-55.7,75.3,219,4.5,1,15,,,,,2.710192593,,Volcanic,,Lava flow,,VADM=(19.7)x10^22 Am^2,"McMurdo Sound, Antarctica",1,0,0,1,0,0,0,0,1,1,4
4090,,711,DB(-3) ,11.8454,41.67,2.3,,Estimated,Africa,Ethiopia,T+;LTD-DHT-S,R,8,-11.1,177.4,292.2,3.2,2,19.8,,,,,5.048543958,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,"age interpolated from K-Ar dates, top 2.18 (MWSD of dates), bottom 2.34 (inferred from chron)",Dobi section,0,0,0,1,1,0,1,0,0,1,4
4091,,711,DB(-4) ,11.8454,41.67,2.31,,Estimated,Africa,Ethiopia,T+;LTD-DHT-S,R,11,-11.8,183.9,485.7,2.1,2,22.5,,,,,5.726452222,,Volcanic,Basalt,Lava Flow,Ti-poor titanomagnetite or pure magnetite,"age interpolated from K-Ar dates, top 2.18 (MWSD of dates), bottom 2.34 (inferred from chron)",Dobi section,0,0,0,1,1,0,1,0,0,1,4
